,,,,,,,,,,,,,,,,,,
,,,,,Loading Unit Time Profile,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Report Created On:,,,,,10-08-2026
,Parameters:,,,,,,,,,Description:,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,This report contains a spreadsheet of all the status that a specified loading unit has incurred for the specified time period.,,,,,,,,
,,Start Shift Date:,,,01-07-2026,,,,,,,,,,,,,
,,End Shift Date:,,,31-07-2026,,,,,,,,,,,,,
,,Loader:,,,EX007,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IsDst:,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,01-07-2026,,,,,,,,,,,,,,,,,
,Timestamp,,,,,Status Code,,Sub-Status Code,,,,"Duration
(min)",,,Hauling Unit,,,
,01-07-2026,,,,,Waiting,,,,,,0.9,,,RD252,,,
,01-07-2026,,,,,LU Loading,,,,,,3.27,,,RD252,,,
,01-07-2026,,,,,Waiting,,,,,,1.82,,,RD242,,,
,01-07-2026,,,,,Spotting,,,,,,0.73,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.98,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,1.85,,,RD232,,,
,01-07-2026,,,,,Spotting,,,,,,0.15,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,4.03,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,3.3,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,3.78,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,8,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,2.65,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.53,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.67,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,2.18,,,RD234,,,
,01-07-2026,,,,,Spotting,,,,,,0.55,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,3.48,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.57,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,3.17,,,RD232,,,
,01-07-2026,,,,,Spotting,,,,,,2.68,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.7,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,0.07,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,4.7,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.67,,,RD234,,,
,01-07-2026,,,,,Spotting,,,,,,0.4,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.72,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,5.87,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,2.77,,,RD250,,,
,01-07-2026,,,,,Spotting,,,,,,0.53,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.68,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.55,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,0.02,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.8,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.15,,,RD234,,,
,01-07-2026,,,,,Spotting,,,,,,0.3,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.77,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.02,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.92,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,5.95,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,3.07,,,RD250,,,
,01-07-2026,,,,,Waiting,,,,,,2,,,RD253,,,
,01-07-2026,,,,,Spotting,,,,,,0.32,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.8,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.78,,,RD234,,,
,01-07-2026,,,,,Spotting,,,,,,0.28,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.78,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.27,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.33,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,0.42,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,0.02,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.88,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.17,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,3.73,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.55,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.52,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.3,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.02,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,0.63,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.5,,,RD253,,,
,01-07-2026,,,,,Spotting,,,,,,0.55,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.78,,,RD242,,,
,01-07-2026,,,,,Spotting,,,,,,0.35,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.67,,,RD234,,,
,01-07-2026,,,,,Spotting,,,,,,0.77,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.58,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.5,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,3.28,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,0.02,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,6,,,RD242,,,
,01-07-2026,,,,,Spotting,,,,,,1.28,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.22,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,2.73,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.48,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.58,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,0.08,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.48,,,RD253,,,
,01-07-2026,,,,,Spotting,,,,,,0.12,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.9,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,2.27,,,RD250,,,
,01-07-2026,,,,,LU Loading,,,,,,2.47,,,RD250,,,
,01-07-2026,,,,,Waiting,,,,,,0.32,,,RD252,,,
,01-07-2026,,,,,LU Loading,,,,,,2.07,,,RD252,,,
,01-07-2026,,,,,Waiting,,,,,,0.5,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.42,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,2.77,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.4,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,3.93,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.43,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,6.33,,,RD252,,,
,01-07-2026,,,,,LU Loading,,,,,,2.45,,,RD252,,,
,01-07-2026,,,,,Waiting,,,,,,4,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,4.7,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.43,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.78,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,0.15,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,10.47,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.38,,,RD234,,,
,01-07-2026,,,,,Waiting,,,,,,0.18,,,RD242,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD242,,,
,01-07-2026,,,,,Waiting,,,,,,0.1,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,3.08,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,3.27,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,9.4,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD234,,,
,01-07-2026,,,,,LU Loading,,,,,,5.03,,,RD250,,,
,01-07-2026,,,,,Waiting,,,,,,0.18,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,2.5,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,0.02,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.45,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,1.68,,,RD253,,,
,01-07-2026,,,,,Spotting,,,,,,0.88,,,RD253,,,
,01-07-2026,,,,,LU Loading,,,,,,2.33,,,RD253,,,
,01-07-2026,,,,,Waiting,,,,,,0.02,,,RD232,,,
,01-07-2026,,,,,LU Loading,,,,,,8.48,,,RD232,,,
,01-07-2026,,,,,Waiting,,,,,,1.85,,,RD231,,,
,01-07-2026,,,,,Shift Change,,,,,,25.15,,,RD231,,,
,01-07-2026,,,,,Shift Change,,,,,,63.13,,,RD231,,,
,01-07-2026,,,,,Waiting,,,,,,2.92,,,RD231,,,
,01-07-2026,,,,,LU Loading,,,,,,2.7,,,RD231,,,
,01-07-2026,,,,,Waiting,,,,,,0.93,,,RD247,,,
,01-07-2026,,,,,LU Loading,,,,,,2.2,,,RD247,,,
,01-07-2026,,,,,Waiting,,,,,,16,,,RD247,,,
,01-07-2026,,,,,Spotting,,,,,,0.77,,,RD247,,,
,01-07-2026,,,,,LU Loading,,,,,,2.45,,,RD247,,,
,01-07-2026,,,,,Waiting,,,,,,0.63,,,RD231,,,
,01-07-2026,,,,,LU Loading,,,,,,3.32,,,RD231,,,
,01-07-2026,,,,,Waiting,,,,,,0.58,,,RD229,,,
,01-07-2026,,,,,Spotting,,,,,,0.32,,,RD229,,,
