,,,,,,,,,,,,,,,,,,
,,,,,Loading Unit Time Profile,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Report Created On:,,,,,10-08-2026
,Parameters:,,,,,,,,,Description:,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,This report contains a spreadsheet of all the status that a specified loading unit has incurred for the specified time period.,,,,,,,,
,,Start Shift Date:,,,01-07-2026,,,,,,,,,,,,,
,,End Shift Date:,,,31-07-2026,,,,,,,,,,,,,
,,Loader:,,,EX001,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,IsDst:,,,False,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,01-07-2026,,,,,,,,,,,,,,,,,
,Timestamp,,,,,Status Code,,Sub-Status Code,,,,"Duration
(min)",,,Hauling Unit,,,
,01-07-2026,,,,,LU Loading,,,,,,2.78,,,RD240,,,
,01-07-2026,,,,,Waiting,,,,,,0.2,,,RD226,,,
,01-07-2026,,,,,LU Loading,,,,,,3.43,,,RD226,,,
,01-07-2026,,,,,Waiting,,,,,,1.9,,,RD141,,,
,01-07-2026,,,,,LU Loading,,,,,,3.5,,,RD141,,,
,01-07-2026,,,,,Waiting,,,,,,1.43,,,RD227,,,
,01-07-2026,,,,,LU Loading,,,,,,2.52,,,RD227,,,
,01-07-2026,,,,,Waiting,,,,,,0.32,,,RD240,,,
,01-07-2026,,,,,Spotting,,,,,,0.23,,,RD240,,,
,01-07-2026,,,,,LU Loading,,,,,,8.48,,,RD240,,,
,01-07-2026,,,,,Spotting,,,,,,0.22,,,RD226,,,
,01-07-2026,,,,,LU Loading,,,,,,4.5,,,RD226,,,
,01-07-2026,,,,,Spotting,,,,,,0.2,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,3.35,,,RD228,,,
,01-07-2026,,,,,Waiting,,,,,,0.37,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,2,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,3.03,,,RD227,,,
,01-07-2026,,,,,Waiting,,,,,,4.1,,,RD226,,,
,01-07-2026,,,,,Spotting,,,,,,0.38,,,RD226,,,
,01-07-2026,,,,,LU Loading,,,,,,2.95,,,RD226,,,
,01-07-2026,,,,,Spotting,,,,,,0.4,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,3.73,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,3.37,,,RD244,,,
,01-07-2026,,,,,Waiting,,,,,,2,,,RD141,,,
,01-07-2026,,,,,LU Loading,,,,,,3.27,,,RD141,,,
,01-07-2026,,,,,Waiting,,,,,,1.73,,,RD244,,,
,01-07-2026,,,,,Fuel Filling,,,,,,5.95,,,RD244,,,
,01-07-2026,,,,,LU Loading,,,,,,1.9,,,RD244,,,
,01-07-2026,,,,,Waiting,,,,,,3.72,,,RD228,,,
,01-07-2026,,,,,LU Loading,,,,,,3.37,,,RD228,,,
,01-07-2026,,,,,Waiting,,,,,,3.92,,,RD141,,,
,01-07-2026,,,,,LU Loading,,,,,,3.33,,,RD141,,,
