textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox27,textbox297,textbox298,textbox28,textbox18
Status and Sub-Status by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,All,Status Category:,Fleet:,All,This report contains a spreadsheet of all the statuses that the specified hauling unit was in during the specified time period.

Textbox3,Textbox38,Textbox40,Textbox42,textbox4,FLT_DESC1,NAME,STATUSCAT_DESCRIP,STATUS_DESC,SUB_STATUS_DESC,DURATION1,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N04 - Hauling,N041 - Hauling Stopped,0.51,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N05 - Spot at LU,,0.64,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N06 - Queue At LU,,6.77,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Net Operating,N07 - Dumping,,5.67,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD02,Standby,S03 - Schedule No Work,,13.36,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Delay,D03 - Delay At Hopper,,2.18,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Delay,S01 - Blasting,,2.33,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Delay,S19 - Tea/ Breakfast / Snacks,,21.24,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Delay,S20 - Shift Change,,34.27,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Delay,S25 - Toilet Break,,0.21,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Down,O01 -  Down,,565.76,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N00 - Wait At Dump,,8.63,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N01 - Truck Loading,,8.32,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N03 - Empty,,23.91,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N03 - Empty,N031 - Empty Stopped,18.69,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N04 - Hauling,,16.39,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N04 - Hauling,N041 - Hauling Stopped,0.32,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N05 - Spot at LU,,0.23,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N06 - Queue At LU,,1.99,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Net Operating,N07 - Dumping,,0.04,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD03,Standby,S03 - Schedule No Work,,39.27,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Delay,S19 - Tea/ Breakfast / Snacks,,2.89,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Delay,S20 - Shift Change,,1.87,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Down,O01 -  Down,,731.16,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N00 - Wait At Dump,,0.24,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N01 - Truck Loading,,0.66,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N03 - Empty,,2.31,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N03 - Empty,N031 - Empty Stopped,3.85,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N04 - Hauling,,0.85,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N04 - Hauling,N041 - Hauling Stopped,0.06,Total,7435.22,Grand Total,51923.57
Hauling Unit,Status Category,Status Code,Sub-Status Code,Duration(Hours),Caterpillar 773E,CRD04,Net Operating,N05 - Spot at LU,,0.02,Total,7435.22,Grand Total,51923.57
