textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox298,textbox28,textbox18
Fuel Consumption by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,10-07-2026,,,Fleet:,All,This report contains a spreadsheet of fuel consumption for a specified hauling unit in the specified time period.

Textbox5,textbox4,FLT_DESC2,NAME2,FUEL_CONSUMPTION2,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-215,"31,654.59",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-216,0.00,Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-217,"23,129.58",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-218,"26,277.86",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-219,"26,325.98",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-220,"24,211.11",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-221,"25,939.50",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-222,0.00,Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-223,"26,884.08",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-224,"31,339.29",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-225,"13,465.87",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-226,"20,706.01",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-227,"24,173.98",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-228,"11,451.01",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-229,"17,247.38",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-230,"18,214.42",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-232,"10,370.21",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-233,"21,571.41",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-234,"19,922.63",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-235,"21,478.65",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-243,0.00,Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-244,"10,010.10",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-249,"15,159.75",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-250,"19,580.21",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-251,"15,711.32",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-253,"19,304.01",Total,"5,88,021.52",Grand Total,"9,34,554.57"

