textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox298,textbox28,textbox18
Fuel Consumption by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,01-07-2026,End Shift Date:,10-07-2026,,,Fleet:,All,This report contains a spreadsheet of fuel consumption for a specified hauling unit in the specified time period.

Textbox5,textbox4,FLT_DESC2,NAME2,FUEL_CONSUMPTION2,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD03,680.75,Total,"7,757.71",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD05,"1,551.95",Total,"7,757.71",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O01,0.00,Total,"7,757.71",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O03,"5,525.00",Total,"7,757.71",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-121,"6,105.46",Total,"7,501.80",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-122,"1,250.17",Total,"7,501.80",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-123,0.00,Total,"7,501.80",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-136,146.18,Total,"7,501.80",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-141,0.00,Total,"7,501.80",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-201,"12,764.47",Total,"3,31,273.54",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-203,"1,07,912.55",Total,"3,31,273.54",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-204,"99,294.16",Total,"3,31,273.54",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-205,"32,431.34",Total,"3,31,273.54",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-206,"78,871.03",Total,"3,31,273.54",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-208,"19,410.87",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-209,"36,932.60",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-211,"28,497.29",Total,"5,88,021.52",Grand Total,"9,34,554.57"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-214,"29,051.83",Total,"5,88,021.52",Grand Total,"9,34,554.57"
