textbox1,textbox19,textbox20,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox8,textbox9,textbox18,Textbox2,Textbox3
Productivity TKPH-TMPH by Fleet and Hauling Unit,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,,,This report contains a spreadsheet showing the productivity of each hauling unit for the specified time period.  This report is grouped by fleet.,¹ Includes all time spent in statuses assigned to the [Truck Speed Productivity] status category.,* ( Quantity * (Empty Distance + Haul Distance) ) / Total Travel Time

FLEET_IDENT,Textbox39,Textbox40,Textbox41,Textbox42,Textbox11,Textbox34,Textbox47,EQUIP_IDENT,Textbox169,NUM_OF_LOADS,HAUL_DISTANCE,EMPTY_DISTANCE,Textbox6,Textbox7,QUANTITY_REPORTING,NUM_OF_LOADS1,HAUL_DISTANCE1,Textbox29,Textbox45,Textbox52
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD226,"60,292.75",831,"2,394.32","2,777.07",490.22,"6,36,040.15","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD227,"60,951.70",776,"1,547.98","1,951.88",390.22,"5,46,671.24","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD228,"90,163.70","1,055","1,791.30","2,412.56",470.23,"8,06,063.56","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD229,"93,602.00","1,050","1,530.72","2,135.67",409.90,"8,37,242.80","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD230,"95,761.85","1,136","1,916.12","2,601.07",503.75,"8,58,702.69","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD231,"90,554.50","1,057","1,606.19","2,489.75",463.02,"8,01,053.63","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD232,"1,34,651.10","1,476","1,896.74","2,728.48",520.01,"11,97,642.51","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD233,"1,06,170.35","1,210","1,651.84","2,422.33",462.91,"9,34,424.89","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD234,"86,897.95","1,014","1,506.97","2,200.02",396.97,"8,11,469.47","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD235,"1,33,029.35","1,473","1,733.34","2,890.35",527.92,"11,65,122.04","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD236,"1,10,112.35","1,249","1,576.27","2,349.08",445.85,"9,69,448.77","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD237,"1,11,199.70","1,275","1,598.47","2,606.77",482.71,"9,68,736.21","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD238,"1,04,793.75","1,195","1,725.66","2,470.42",497.25,"8,84,303.83","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD239,"79,618.95",898,"1,292.52","1,937.79",357.07,"7,20,290.18","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
F01,Hauling Unit,Quantity (MT),Loads,Haul Distance(KM),Empty Distance(KM),Total Travel Time¹ (HR),Productivity TKPH* (MT • KM /HR),RD240,"1,05,232.25","1,205","1,743.66","2,544.39",479.88,"9,40,317.80","41,55,861.75","48,189","75,034.68","1,06,935.42","20,225.66","3,73,90,252.77"
