textbox20,SHIFT_DATE,SHIFT_IDENT_SINGLE
8/12/2026,7/15/2026,3

NAME,LEVEL_START,LEVEL_END,QUANTITY,Textbox37,WORK_HOURS,TANK_VOLUME,Textbox9
EX001,0,0,0,0,5.9,0,"9,665"
EX005,"3,069","1,858",0,"1,211",6.9,175,"9,665"
EX009,0,0,0,0,3.6,0,"9,665"
EX012,"1,175","1,409",141,0,0.1,-791,"9,665"
PL2K06,640,667,128,100,2.1,47,"9,665"
RD121,808,807,0,1,0.0,0,"9,665"
RD141,0,0,0,0,0.0,0,"9,665"
RD203,816,816,0,0,0.0,0,"9,665"
RD204,728,848,670,550,5.6,98,"9,665"
RD205,829,884,683,628,5.8,108,"9,665"
RD206,891,"1,054","1,163","1,000",6.0,168,"9,665"
RD208,636,759,420,298,6.5,46,"9,665"
RD209,"1,126","1,050",480,556,6.5,86,"9,665"
RD211,758,658,0,100,1.5,67,"9,665"
RD214,908,662,23,269,4.7,57,"9,665"
RD215,762,335,16,442,6.3,70,"9,665"
RD216,0,0,0,0,7.0,0,"9,665"
RD217,792,417,0,375,8.0,47,"9,665"
RD218,869,869,0,0,0.0,0,"9,665"
RD219,880,529,0,351,5.8,61,"9,665"
RD220,888,401,0,487,8.0,61,"9,665"
RD221,814,"1,046",732,500,8.0,63,"9,665"
RD222,0,0,0,0,6.3,0,"9,665"
RD223,856,842,448,463,6.7,69,"9,665"
RD224,805,310,147,643,6.7,95,"9,665"
RD225,770,957,618,432,6.9,62,"9,665"
RD226,990,966,0,24,0.7,34,"9,665"
RD229,474,"1,049","1,025",450,6.2,73,"9,665"
RD230,"1,096",889,0,207,3.6,58,"9,665"
RD232,856,472,0,384,6.8,56,"9,665"
RD233,"1,072",712,952,"1,312",6.7,197,"9,665"
RD234,231,925,872,178,5.9,30,"9,665"
RD235,"1,112",708,0,404,6.8,59,"9,665"
RD243,"1,310","1,310",0,0,5.8,0,"9,665"
RD244,945,695,0,249,6.2,41,"9,665"
RD249,337,977,769,129,6.4,20,"9,665"
RD250,"1,091",732,0,359,0.0,0,"9,665"
RD251,"1,218","1,206",0,12,0.2,53,"9,665"
RD2KC3,700,700,0,0,0.0,0,"9,665"
RD2KC5,436,568,156,24,0.8,32,"9,665"
RDO03,487,590,222,120,4.4,27,"9,665"

