textbox7,textbox19,textbox20,textbox22,textbox29,textbox21,textbox27,textbox26,textbox28,textbox24,textbox10,textbox11,textbox30,textbox31,textbox33,textbox32
Delay by Loading Unit and Status Code,Report Created On:,12-08-2026,Description:,Parameters:,This report contains a matrix identifying the delay and down statuses for all loading units during a specified time period.  The report is grouped by fleet.,Start Shift Date:,11-07-2026,End Shift Date:,20-07-2026,,,Fleet:,All,Loader:,All

textbox4,Textbox1,FLEET_IDENT,EQUIP_IDENT,STATUS_DESC,textbox2,Textbox42,Textbox44,Textbox13,Textbox14,Textbox37,Textbox12,Textbox15,Textbox46
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009, Down,18.40,Total,79.08,Total,122.36,289.40,Total,750.64,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Blasting,8.24,Total,79.08,Total,24.82,289.40,Total,94.37,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Change Operators,,Total,79.08,Total,0.00,289.40,Total,0.89,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Clean & Remove,,Total,79.08,Total,,289.40,Total,0.08,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Daily Service,8.06,Total,79.08,Total,18.63,289.40,Total,130.67,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Delay At Hopper,,Total,79.08,Total,,289.40,Total,6.78,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Face Height Reduction,0.08,Total,79.08,Total,0.08,289.40,Total,0.18,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Fuel Filling,0.23,Total,79.08,Total,0.50,289.40,Total,8.68,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Marching,6.07,Total,79.08,Total,15.19,289.40,Total,95.71,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Meeting,0.00,Total,79.08,Total,0.00,289.40,Total,0.01,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Pit Closed,,Total,79.08,Total,,289.40,Total,0.00,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Scheduled Service,,Total,79.08,Total,4.82,289.40,Total,28.26,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Change,25.49,Total,79.08,Total,76.40,289.40,Total,426.12,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Incharge Instruction,2.85,Total,79.08,Total,2.85,289.40,Total,13.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Stuck in Mud,,Total,79.08,Total,,289.40,Total,0.43,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Tea/ Breakfast / Snacks,9.59,Total,79.08,Total,23.67,289.40,Total,92.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Toilet Break,0.09,Total,79.08,Total,0.09,289.40,Total,0.45,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Wireless Infrastructure/Network,,Total,79.08,Total,,289.40,Total,0.02,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010, Down,82.29,Total,130.33,Total,122.36,289.40,Total,750.64,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Blasting,6.01,Total,130.33,Total,24.82,289.40,Total,94.37,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Change Operators,,Total,130.33,Total,0.00,289.40,Total,0.89,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Clean & Remove,,Total,130.33,Total,,289.40,Total,0.08,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Daily Service,,Total,130.33,Total,18.63,289.40,Total,130.67,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Delay At Hopper,,Total,130.33,Total,,289.40,Total,6.78,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Face Height Reduction,,Total,130.33,Total,0.08,289.40,Total,0.18,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Fuel Filling,0.13,Total,130.33,Total,0.50,289.40,Total,8.68,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Marching,3.51,Total,130.33,Total,15.19,289.40,Total,95.71,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Meeting,,Total,130.33,Total,0.00,289.40,Total,0.01,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Pit Closed,,Total,130.33,Total,,289.40,Total,0.00,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Scheduled Service,4.82,Total,130.33,Total,4.82,289.40,Total,28.26,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Shift Change,25.63,Total,130.33,Total,76.40,289.40,Total,426.12,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Shift Incharge Instruction,,Total,130.33,Total,2.85,289.40,Total,13.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Stuck in Mud,,Total,130.33,Total,,289.40,Total,0.43,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Tea/ Breakfast / Snacks,7.94,Total,130.33,Total,23.67,289.40,Total,92.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Toilet Break,,Total,130.33,Total,0.09,289.40,Total,0.45,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Wireless Infrastructure/Network,,Total,130.33,Total,,289.40,Total,0.02,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012, Down,21.68,Total,79.99,Total,122.36,289.40,Total,750.64,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Blasting,10.58,Total,79.99,Total,24.82,289.40,Total,94.37,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Change Operators,0.00,Total,79.99,Total,0.00,289.40,Total,0.89,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Clean & Remove,,Total,79.99,Total,,289.40,Total,0.08,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Daily Service,10.57,Total,79.99,Total,18.63,289.40,Total,130.67,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Delay At Hopper,,Total,79.99,Total,,289.40,Total,6.78,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Face Height Reduction,,Total,79.99,Total,0.08,289.40,Total,0.18,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Fuel Filling,0.13,Total,79.99,Total,0.50,289.40,Total,8.68,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Marching,5.61,Total,79.99,Total,15.19,289.40,Total,95.71,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Meeting,,Total,79.99,Total,0.00,289.40,Total,0.01,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Pit Closed,,Total,79.99,Total,,289.40,Total,0.00,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Scheduled Service,,Total,79.99,Total,4.82,289.40,Total,28.26,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Shift Change,25.28,Total,79.99,Total,76.40,289.40,Total,426.12,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Shift Incharge Instruction,,Total,79.99,Total,2.85,289.40,Total,13.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Stuck in Mud,,Total,79.99,Total,,289.40,Total,0.43,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Tea/ Breakfast / Snacks,6.14,Total,79.99,Total,23.67,289.40,Total,92.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Toilet Break,,Total,79.99,Total,0.09,289.40,Total,0.45,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Wireless Infrastructure/Network,,Total,79.99,Total,,289.40,Total,0.02,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001, Down,82.64,Total,122.05,Total,127.39,237.48,Total,750.64,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Blasting,3.88,Total,122.05,Total,9.90,237.48,Total,94.37,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Change Operators,,Total,122.05,Total,,237.48,Total,0.89,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Clean & Remove,,Total,122.05,Total,0.08,237.48,Total,0.08,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Daily Service,6.27,Total,122.05,Total,11.51,237.48,Total,130.67,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Delay At Hopper,,Total,122.05,Total,,237.48,Total,6.78,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Face Height Reduction,,Total,122.05,Total,,237.48,Total,0.18,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Fuel Filling,0.39,Total,122.05,Total,2.30,237.48,Total,8.68,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Marching,3.68,Total,122.05,Total,6.64,237.48,Total,95.71,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Meeting,,Total,122.05,Total,,237.48,Total,0.01,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Pit Closed,0.00,Total,122.05,Total,0.00,237.48,Total,0.00,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Scheduled Service,,Total,122.05,Total,23.44,237.48,Total,28.26,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Shift Change,22.55,Total,122.05,Total,41.12,237.48,Total,426.12,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Shift Incharge Instruction,,Total,122.05,Total,,237.48,Total,13.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Stuck in Mud,,Total,122.05,Total,,237.48,Total,0.43,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Tea/ Breakfast / Snacks,2.61,Total,122.05,Total,15.08,237.48,Total,92.99,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Toilet Break,0.01,Total,122.05,Total,0.01,237.48,Total,0.45,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX001,Wireless Infrastructure/Network,,Total,122.05,Total,,237.48,Total,0.02,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003, Down,44.75,Total,115.44,Total,127.39,237.48,Total,750.64,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Blasting,6.01,Total,115.44,Total,9.90,237.48,Total,94.37,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Change Operators,,Total,115.44,Total,,237.48,Total,0.89,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Clean & Remove,0.08,Total,115.44,Total,0.08,237.48,Total,0.08,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Daily Service,5.23,Total,115.44,Total,11.51,237.48,Total,130.67,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Delay At Hopper,,Total,115.44,Total,,237.48,Total,6.78,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Face Height Reduction,,Total,115.44,Total,,237.48,Total,0.18,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Fuel Filling,1.91,Total,115.44,Total,2.30,237.48,Total,8.68,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Marching,2.96,Total,115.44,Total,6.64,237.48,Total,95.71,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Meeting,,Total,115.44,Total,,237.48,Total,0.01,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Pit Closed,,Total,115.44,Total,0.00,237.48,Total,0.00,"1,650.28"
"
Fleet     
              ","        Status Code
Loader    


                       ",F07-Tata Hitachi EX2500-5,EX003,Scheduled Service,23.44,Total,115.44,Total,23.44,237.48,Total,28.26,"1,650.28"
