START_SHIFT_DATE,END_SHIFT_DATE
2026-07-01,2026-07-31

EquipmentNo2,Owner1,First_Shift_Location_Name,First_Shift_AVAILABILITY2,First_Shift_Utilization2,First_Shift_Break_Down_Hours,First_Shift_Trips1,First_Shift_Output_in_Cum2,First_Shift_Utilization_Perf_Cum2,First_Shift_Output_in_Cum_OB,First_Shift_Utilization_Perf_Cum_OB,Second_Shift_Location_Name,Second_Shift_AVAILABILITY2,Second_Shift_Utilization2,Second_Shift_Break_Down_Hours,Second_Shift_Trips1,Second_Shift_Output_in_Cum2,Second_Shift_Utilization_Perf_Cum2,Second_Shift_Output_in_Cum_OB,Second_Shift_Utilization_Perf_Cum_ob,Third_Shift_Location_Name,Third_Shift_AVAILABILITY2,Third_Shift_Utilization2,Third_Shift_Break_Down_Hours,Third_Shift_Trips1,Third_Shift_Output_in_Cum2,Third_Shift_Utilization_Perf_Cum2,Third_Shift_Output_in_Cum_OB,Third_Shift_Utilization_Perf_Cum_OB,Textbox162,Textbox163,Textbox164,Textbox43,Textbox165,Textbox2,Textbox280,Textbox281,Textbox58,Textbox61,Textbox282,Textbox283,Textbox284,Textbox285,Textbox286,Textbox287,Textbox64,Textbox67,Textbox288,Textbox289,Textbox290,Textbox291,Textbox292,Textbox293,Textbox70,Textbox97,Textbox294,Textbox295,Textbox296,Textbox297
EX001,QSE,",COAL STOCK,DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",142.73,112.39,105.27,1267,10171.55,90.50,41370.79,368.10,"DUMP,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",125.36,87.62,122.64,918,1842.55,21.03,32815.96,374.53,"DUMP,QSE-X OB1 Air strip,QSE-XOB1",153.24,123.88,94.76,1273,6426.20,51.87,44147.32,356.37,421.33,323.89,18440.30,56.93,118334.07,365.35,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX0010,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",226.70,182.66,21.30,1561,23987.10,131.32,43009.66,235.46,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",240.87,167.43,7.13,1303,22006.66,131.44,35254.68,210.56,",QSE-X OB1 Air strip,QSE-X OB2,QSE_VII OB 2",238.39,193.08,9.61,1703,24594.36,127.38,47477.08,245.89,705.96,543.17,70588.12,129.96,125741.42,231.50,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX0011,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",234.33,150.88,13.67,2245,34529.53,228.85,63994.10,424.14,",DUMP,QSE-IV OB,QSE-VII OB 1,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,VII OB1 OB Face,Vl OB 2 QSE",227.92,141.78,20.08,1965,39818.04,280.84,53252.84,375.60,",QSE-VII OB/Coal 2,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",239.51,157.94,8.49,2263,32053.18,202.95,65571.54,415.17,701.76,450.60,106400.75,236.13,182818.48,405.72,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX005,QSE,",DUMP,QSE-IV OB,QSE-VII OB/Coal 2,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",201.62,166.40,46.38,1412,26409.49,158.71,36779.76,221.03,",DUMP,QSE-VII OB/Coal 2,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",198.00,144.47,50.00,1302,19056.00,131.90,38081.48,263.59,",DUMP,QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",206.87,163.30,41.13,1490,32379.84,198.28,37949.38,232.39,606.49,474.17,77845.33,164.17,112810.62,237.91,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX007,QSE,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2,Vl OB 2 QSE",208.25,153.37,39.75,1657,32372.60,211.08,45246.92,295.02,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",206.38,141.36,41.62,1304,35388.79,250.35,30283.49,214.23,",DUMP,QSE-X OB1 Air strip,QSE-X OB2,QSE-XOB1,QSE_VII OB 2",215.15,136.31,32.85,1361,38197.36,280.22,31577.58,231.66,629.78,431.04,105958.75,245.82,107107.99,248.49,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09
EX008,QSE,",QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",211.29,161.65,36.71,1667,13473.64,83.35,54865.05,339.41,",QSE-VII OB/Coal 2,QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",212.89,140.20,35.11,1528,19194.54,136.91,47806.09,340.98,",QSE-X OB2,QSE_VII OB 2,Vl OB 2 QSE",229.30,173.07,18.70,1742,13124.40,75.83,58949.80,340.61,653.48,474.92,45792.58,96.42,161620.94,340.31,1224.92,927.35,263.08,9809,140943.91,903.81,285266.28,1883.16,1211.42,822.86,276.58,8320,137306.58,952.47,237494.54,1779.49,1282.46,947.58,205.54,9832,146775.34,936.53,285672.70,1822.09

EquipmentNo4,Owner3,First_Shift_AVAILABILITY4,First_Shift_Utilization4,First_Shift_Trips2,First_Shift_Utilization_Perf_Cum3,First_Shift_Utilization_Perf_Cum_OB1,Second_Shift_AVAILABILITY4,Second_Shift_Utilization4,Second_Shift_Trips2,Second_Shift_Utilization_Perf_Cum_coal,Second_Shift_Utilization_Perf_Cum_ob1,Third_Shift_AVAILABILITY4,Third_Shift_Utilization4,Third_Shift_Trips2,Third_Shift_Utilization_Perf_Cum3,Third_Shift_Utilization_Perf_Cum_OB1,Textbox189,Textbox190,Textbox191,Textbox192,Textbox362,Textbox363,Textbox364,Textbox365,Textbox366,Textbox367,Textbox368,Textbox369,Textbox423,Textbox371,Textbox372,Textbox373,Textbox374,Textbox375,Textbox376,Textbox404,Textbox405,Textbox406,Textbox407,Textbox408,Textbox409,Textbox410,Textbox411,Textbox412,Textbox413,Textbox414,Textbox415,Textbox416,Textbox417,Textbox418
RD232,QSE,234.59,185.94,486,14.96,87.74,230.84,165.21,462,32.51,90.80,224.70,178.64,527,32.11,93.81,690.13,529.79,1475,351.93,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD233,QSE,213.15,162.17,457,37.17,82.94,207.80,140.80,361,40.86,73.71,223.25,165.89,392,26.44,72.38,644.20,468.86,1210,333.50,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD234,QSE,181.46,125.08,318,55.28,65.59,176.03,127.24,284,49.00,53.79,193.31,146.70,412,36.73,83.82,550.80,399.02,1014,344.21,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD235,QSE,235.91,183.88,528,23.13,93.57,236.96,163.26,424,27.69,82.88,242.92,193.68,522,40.48,81.73,715.79,540.82,1474,349.48,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD236,QSE,218.97,155.80,421,30.62,81.04,204.07,136.50,386,38.28,84.92,214.77,157.00,442,30.85,87.78,637.81,449.30,1249,353.49,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD237,QSE,224.36,172.88,485,18.70,90.15,220.15,157.19,415,26.45,82.06,205.14,161.23,372,23.41,70.90,649.65,491.30,1272,311.67,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD238,QSE,225.21,169.92,454,35.20,80.90,208.60,142.48,354,51.99,65.11,226.57,175.16,387,39.78,61.39,660.38,487.56,1195,334.37,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD239,QSE,158.70,125.53,307,32.76,73.57,152.31,110.01,266,28.57,73.73,162.51,129.24,325,41.18,73.28,473.52,364.78,898,323.09,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD240,QSE,219.62,172.23,418,38.34,70.65,208.76,140.27,347,32.35,72.94,221.01,177.23,439,39.94,69.90,649.39,489.73,1204,324.12,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD241,QSE,222.63,168.87,426,29.52,78.97,218.93,147.84,359,35.87,69.95,231.26,186.32,462,43.88,69.12,672.82,503.03,1247,327.31,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD242,QSE,212.23,164.18,473,35.63,89.21,207.10,132.50,323,56.72,64.27,205.26,165.86,442,28.94,83.77,624.59,462.54,1238,358.54,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD243,QSE,218.65,158.58,390,13.48,82.88,216.82,147.82,340,52.67,62.88,230.23,184.17,479,31.49,81.96,665.70,490.57,1209,325.36,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD244,QSE,206.83,158.17,415,46.35,73.34,219.30,147.49,389,40.40,78.01,220.77,178.88,477,30.76,83.34,646.90,484.54,1281,352.20,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD245,QSE,221.42,157.38,478,52.64,84.27,216.72,144.50,377,39.77,76.80,224.16,163.85,461,43.16,80.72,662.30,465.73,1316,377.36,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD246,QSE,125.04,123.91,258,16.88,70.10,129.36,128.98,185,16.15,46.29,131.93,128.93,265,9.89,70.54,386.33,381.82,708,229.85,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
RD247,QSE,178.47,149.04,454,19.72,104.93,174.55,119.82,313,60.86,69.73,169.91,139.18,429,15.29,106.82,522.93,408.04,1196,377.35,6155.30,4494.76,11387,988.65,2105.77,6062.06,4047.17,9607,1216.76,1861.45,6152.42,4597.68,11081,1049.08,1967.37,7549.75,5175.07,12173,1358.56,2190.83,7421.67,4677.57,10424,1552.30,2019.70,7546.83,5202.69,11686,1443.59,2044.31
