textbox7,textbox19,textbox20,textbox22,textbox29,textbox21,textbox27,textbox26,textbox28,textbox24,textbox10,textbox11,textbox30,textbox31,textbox33,textbox32
Delay by Loading Unit and Status Code,Report Created On:,12-08-2026,Description:,Parameters:,This report contains a matrix identifying the delay and down statuses for all loading units during a specified time period.  The report is grouped by fleet.,Start Shift Date:,01-07-2026,End Shift Date:,10-07-2026,,,Fleet:,All,Loader:,All

textbox4,Textbox1,FLEET_IDENT,EQUIP_IDENT,STATUS_DESC,textbox2,Textbox42,Textbox44,Textbox13,Textbox14,Textbox37,Textbox12,Textbox15,Textbox46
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Marching,14.16,Total,91.31,Total,30.33,274.03,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Meeting,,Total,91.31,Total,,274.03,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Pit Closed,,Total,91.31,Total,,274.03,Total,0.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Scheduled Service,,Total,91.31,Total,,274.03,Total,15.55,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Shift Change,25.61,Total,91.31,Total,76.60,274.03,Total,411.51,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Shift Incharge Instruction,,Total,91.31,Total,,274.03,Total,0.63,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Stuck in Mud,0.08,Total,91.31,Total,0.08,274.03,Total,0.99,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Tea/ Breakfast / Snacks,15.16,Total,91.31,Total,29.28,274.03,Total,91.06,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Toilet Break,0.00,Total,91.31,Total,0.54,274.03,Total,2.09,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Weather,,Total,91.31,Total,0.56,274.03,Total,0.87,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012, Down,41.15,Total,90.39,Total,83.16,274.03,Total,774.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Blasting,6.76,Total,90.39,Total,17.53,274.03,Total,59.94,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Breakdown Maintenance,,Total,90.39,Total,,274.03,Total,2.27,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Bucket Teeth Change,,Total,90.39,Total,,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Cable Shifting,,Total,90.39,Total,,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Change Operators,,Total,90.39,Total,0.22,274.03,Total,1.85,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Clean & Remove,,Total,90.39,Total,,274.03,Total,0.28,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Daily Service,4.34,Total,90.39,Total,35.46,274.03,Total,156.53,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Delay At Hopper,,Total,90.39,Total,,274.03,Total,7.71,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Fuel Filling,,Total,90.39,Total,0.27,274.03,Total,4.47,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Lightning,,Total,90.39,Total,0.00,274.03,Total,0.00,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Marching,4.86,Total,90.39,Total,30.33,274.03,Total,119.97,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Meeting,,Total,90.39,Total,,274.03,Total,0.16,"1,650.81"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX012,Pit Closed,,Total,90.39,Total,,274.03,Total,0.06,"1,650.81"
