textbox1,textbox21,textbox22,textbox16,textbox17,textbox14,textbox12,textbox15,textbox13,textbox199,textbox20,textbox28,textbox29,textbox3333,textbox32,textbox33345,textbox333465,textbox18
Payload Statistics by Fleet and Hauling Unit Operator,Report Created On:,12-08-2026,Parameters:,Description:,Start Shift Date:,01-07-2026,End Shift Date:,31-07-2026,Min Payload:,0,Max Payload:,99999999,Hauling Unit:,All,Crew:,All,This report contains a graph and a spreadsheet showing the payload amounts that each operator delivered for a specified time period.  This report is grouped by fleet.

PAYLOAD REPORTING_label,PAYLOAD REPORTING_Chart2_CategoryGroup_label,PAYLOAD REPORTING_Chart2_CategoryGroup_Value_Y
PAYLOAD REPORTING,,80.51515151515151515151515152
PAYLOAD REPORTING,112233,84.4750
PAYLOAD REPORTING,266798,88.31631799163179916317991632
PAYLOAD REPORTING,266808,76.893630573248407643312101911
PAYLOAD REPORTING,266814,78.038045112781954887218045113
PAYLOAD REPORTING,266909,85.99173553719008264462809917
PAYLOAD REPORTING,266910,89.5063099630996309963099631
PAYLOAD REPORTING,266954,93.96140350877192982456140351
PAYLOAD REPORTING,266958,90.72702702702702702702702703
PAYLOAD REPORTING,266975,89.19508928571428571428571429
PAYLOAD REPORTING,267008,94.24051724137931034482758621
PAYLOAD REPORTING,267019,78.747826086956521739130434783
PAYLOAD REPORTING,267023,90.18333333333333333333333333
PAYLOAD REPORTING,267031,90.47272727272727272727272727
PAYLOAD REPORTING,267061,77.147222222222222222222222222
PAYLOAD REPORTING,267065,92.05365853658536585365853659
PAYLOAD REPORTING,267105,84.32631578947368421052631579
PAYLOAD REPORTING,267125,82.69166666666666666666666667
PAYLOAD REPORTING,267126,84.77161290322580645161290323
PAYLOAD REPORTING,267137,87.76317016317016317016317016
PAYLOAD REPORTING,267151,85.91652173913043478260869565
PAYLOAD REPORTING,267159,88.72260536398467432950191571
PAYLOAD REPORTING,267166,79.012195121951219512195121951
PAYLOAD REPORTING,267170,89.97074074074074074074074074
PAYLOAD REPORTING,267173,85.30299492385786802030456853
PAYLOAD REPORTING,267194,87.85758974358974358974358974
PAYLOAD REPORTING,267210,90.08698884758364312267657993
PAYLOAD REPORTING,267216,85.7200
PAYLOAD REPORTING,267231,79.66125
PAYLOAD REPORTING,267247,87.62444444444444444444444444
PAYLOAD REPORTING,267256,82.10115384615384615384615385
PAYLOAD REPORTING,267314,88.3174358974358974358974359
PAYLOAD REPORTING,267318,69.143478260869565217391304348
PAYLOAD REPORTING,267349,77.352433862433862433862433862
PAYLOAD REPORTING,267360,83.3640
PAYLOAD REPORTING,267363,86.24688995215311004784688995
PAYLOAD REPORTING,267369,83.29615384615384615384615385
PAYLOAD REPORTING,267382,84.07123893805309734513274336
PAYLOAD REPORTING,267428,80.18601398601398601398601399
PAYLOAD REPORTING,267434,84.58538812785388127853881279
PAYLOAD REPORTING,267446,83.91031746031746031746031746
PAYLOAD REPORTING,267531,88.46144104803493449781659389
PAYLOAD REPORTING,267545,87.40279069767441860465116279
PAYLOAD REPORTING,267570,94.25616438356164383561643836
PAYLOAD REPORTING,267586,87.91265560165975103734439834
PAYLOAD REPORTING,267611,90.12755905511811023622047244
PAYLOAD REPORTING,267621,83.45666666666666666666666667
PAYLOAD REPORTING,267658,86.73012048192771084337349398
PAYLOAD REPORTING,267672,91.26593059936908517350157729
PAYLOAD REPORTING,267686,95.58894472361809045226130653
PAYLOAD REPORTING,267688,80.02907488986784140969162996
PAYLOAD REPORTING,267695,89.16754966887417218543046358
PAYLOAD REPORTING,267717,79.26276923076923076923076923
PAYLOAD REPORTING,267729,84.61516853932584269662921348
PAYLOAD REPORTING,267734,84.73238636363636363636363636
PAYLOAD REPORTING,267737,86.60615384615384615384615385
PAYLOAD REPORTING,267783,80.26414141414141414141414141
PAYLOAD REPORTING,267792,84.66336633663366336633663366
PAYLOAD REPORTING,267797,79.74736842105263157894736842
PAYLOAD REPORTING,267818,90.37559523809523809523809524
PAYLOAD REPORTING,267829,85.2782065217391304347826087
PAYLOAD REPORTING,267839,79.4474654377880184331797235
PAYLOAD REPORTING,267850,77.961883408071748878923766816
PAYLOAD REPORTING,267857,88.55333333333333333333333333
PAYLOAD REPORTING,267889,77.1879375
PAYLOAD REPORTING,267916,65.195046728971962616822429907
PAYLOAD REPORTING,267917,84.13233333333333333333333333
PAYLOAD REPORTING,267936,84.97123287671232876712328767
PAYLOAD REPORTING,267938,77.028191489361702127659574468
PAYLOAD REPORTING,267954,84.58597883597883597883597884
PAYLOAD REPORTING,267962,86.45490196078431372549019608
PAYLOAD REPORTING,267963,90.1626822157434402332361516
PAYLOAD REPORTING,267972,83.04775086505190311418685121
PAYLOAD REPORTING,268555,87.47804195804195804195804196
PAYLOAD REPORTING,268648,77.102752293577981651376146789
PAYLOAD REPORTING,268682,90.7600
PAYLOAD REPORTING,268706,92.79215686274509803921568627
PAYLOAD REPORTING,268709,93.66359649122807017543859649
PAYLOAD REPORTING,268751,93.26464788732394366197183099
PAYLOAD REPORTING,268759,74.958823529411764705882352941
PAYLOAD REPORTING,268776,84.0452380952380952380952381
PAYLOAD REPORTING,268782,85.49333333333333333333333333
PAYLOAD REPORTING,268819,91.5567934782608695652173913
PAYLOAD REPORTING,268849,84.8400
PAYLOAD REPORTING,268885,90.48806451612903225806451613
PAYLOAD REPORTING,269003,70.787012987012987012987012987
PAYLOAD REPORTING,269014,92.08793650793650793650793651
PAYLOAD REPORTING,269023,83.6143790849673202614379085
PAYLOAD REPORTING,269024,95.80670391061452513966480447
PAYLOAD REPORTING,269052,91.20085603112840466926070039
PAYLOAD REPORTING,269054,74.9250
PAYLOAD REPORTING,269061,70.121965811965811965811965812
