textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox298,textbox28,textbox18
Fuel Consumption by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,21-07-2026,End Shift Date:,31-07-2026,,,Fleet:,All,This report contains a spreadsheet of fuel consumption for a specified hauling unit in the specified time period.

Textbox5,textbox4,FLT_DESC2,NAME2,FUEL_CONSUMPTION2,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD03,118.10,Total,"12,733.06",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD04,0.00,Total,"12,733.06",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,CRD05,"2,326.61",Total,"12,733.06",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O01,0.00,Total,"12,733.06",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 773E,RD-O03,"10,288.34",Total,"12,733.06",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-121,"10,642.54",Total,"16,146.69",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-122,"3,455.89",Total,"16,146.69",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-123,0.00,Total,"16,146.69",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-136,"2,048.27",Total,"16,146.69",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777D SII,RD-141,0.00,Total,"16,146.69",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-201,"35,968.48",Total,"4,33,574.30",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-203,"1,20,164.33",Total,"4,33,574.30",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-204,"1,77,194.69",Total,"4,33,574.30",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-205,"29,259.32",Total,"4,33,574.30",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),Caterpillar 777E,RD-206,"70,987.48",Total,"4,33,574.30",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-208,"25,457.37",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-209,"43,775.90",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-210,"31,404.16",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-211,"33,903.47",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-214,"3,612.67",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-215,"40,987.17",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-216,0.00,Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-217,"27,185.13",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-218,"18,306.95",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-219,"28,137.36",Total,"6,47,426.86",Grand Total,"11,09,880.91"
