textbox1,textbox19,textbox20,textbox17,textbox16,textbox14,textbox12,textbox15,textbox13,textbox7,textbox26,textbox298,textbox28,textbox18
Fuel Consumption by Hauling Unit,Report Created On:,12-08-2026,Description:,Parameters:,Start Shift Date:,21-07-2026,End Shift Date:,31-07-2026,,,Fleet:,All,This report contains a spreadsheet of fuel consumption for a specified hauling unit in the specified time period.

Textbox5,textbox4,FLT_DESC2,NAME2,FUEL_CONSUMPTION2,Textbox29,Textbox33,Textbox34,DURATION
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-220,"23,345.58",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-221,"31,639.01",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-222,0.00,Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-223,"25,391.33",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-224,"30,289.06",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-225,"27,937.46",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-226,"25,551.88",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-227,"25,896.58",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-228,"20,818.58",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-229,"14,058.50",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-230,"23,037.37",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-232,"12,494.92",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-233,"17,903.71",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-234,"11,754.44",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-235,"22,371.53",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-243,0.00,Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-244,"11,356.80",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-249,"14,974.01",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-250,"22,090.36",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-251,"18,274.19",Total,"6,47,426.86",Grand Total,"11,09,880.91"
Hauling Unit,Fuel Consumption  (L),KOMATSU HD785-7,RD-253,"15,471.37",Total,"6,47,426.86",Grand Total,"11,09,880.91"

