textbox7,textbox19,textbox20,textbox22,textbox29,textbox21,textbox27,textbox26,textbox28,textbox24,textbox10,textbox11,textbox30,textbox31,textbox33,textbox32
Delay by Loading Unit and Status Code,Report Created On:,12-08-2026,Description:,Parameters:,This report contains a matrix identifying the delay and down statuses for all loading units during a specified time period.  The report is grouped by fleet.,Start Shift Date:,21-07-2026,End Shift Date:,31-07-2026,,,Fleet:,All,Loader:,All

textbox4,Textbox1,FLEET_IDENT,EQUIP_IDENT,STATUS_DESC,textbox2,Textbox42,Textbox44,Textbox13,Textbox14,Textbox37,Textbox12,Textbox15,Textbox46
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009, Down,68.18,Total,122.28,Total,388.69,497.73,Total,757.90,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Blasting,8.60,Total,122.28,Total,16.47,497.73,Total,98.42,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Breakdown Maintenance,,Total,122.28,Total,,497.73,Total,8.17,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Change Operators,,Total,122.28,Total,0.16,497.73,Total,1.69,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Clean & Remove,,Total,122.28,Total,,497.73,Total,0.00,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Daily Service,8.56,Total,122.28,Total,15.98,497.73,Total,155.74,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Delay At Hopper,,Total,122.28,Total,0.11,497.73,Total,4.95,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Emergency,,Total,122.28,Total,0.20,497.73,Total,0.20,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Face Height Reduction,,Total,122.28,Total,,497.73,Total,0.16,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Fuel Filling,,Total,122.28,Total,,497.73,Total,5.06,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Marching,6.71,Total,122.28,Total,10.65,497.73,Total,105.50,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Meeting,,Total,122.28,Total,,497.73,Total,0.03,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Scheduled Service,,Total,122.28,Total,,497.73,Total,4.28,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Change,26.13,Total,122.28,Total,55.46,497.73,Total,466.94,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Shift Incharge Instruction,,Total,122.28,Total,,497.73,Total,0.40,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Stuck in Mud,,Total,122.28,Total,,497.73,Total,0.00,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Tea/ Breakfast / Snacks,4.03,Total,122.28,Total,9.54,497.73,Total,87.36,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX009,Toilet Break,0.06,Total,122.28,Total,0.47,497.73,Total,1.27,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010, Down,263.99,Total,263.99,Total,388.69,497.73,Total,757.90,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Blasting,,Total,263.99,Total,16.47,497.73,Total,98.42,"1,698.08"
"
Fleet     
              ","        Status Code
Loader    


                       ",F06-Tata Hitachi EX1200-6,EX010,Breakdown Maintenance,,Total,263.99,Total,,497.73,Total,8.17,"1,698.08"
